stcd_code,state_name,district,cd_total_unins,cd_pct_unins,rep_name,rep_party,rep_photo_url,rep_contact_page,rep_phone,rep_twitter,rep_facebook,rep_oppose_aca,gender_male_pct,gender_female_pct,ethnicity_latino_pct,ethnicity_white_nonlatino_pct,ethnicity_asian_pct,ethnicity_black_pct,ethnicity_pacific_islander_pct,ethnicity_american_indian_pct,ethnicity_multiracial_other_pct,education_non_hs_grad_pct,education_hs_grad_pct,education_college_grad_pct,age_0-18,age_19-25,age_26-34,age_35-54,age_55-64
0200,Alaska,00,139422.0,0.19630514579059488,Don Young,republican,https://cdn.civil.services/us-house/headshots/512x512/don-young.jpg,http://donyoung.house.gov/contact/,202-225-5765,https://twitter.com/repdonyoung,https://www.facebook.com/RepDonYoung,,0.11036824920342816,0.0859368965871667,0.009572930497260749,0.09190623473208012,0.012466677742875205,0.004132468168807051,0.0012583131403726393,0.05664795256754492,0.02020006307806897,0.01985627774625439,0.15636462925442568,0.02011599606325266,5.0160046591213106e-09,4.685201565154602e-09,4.992917632961905e-09,9.089806537773621e-09,3.316022024297592e-09
0101,Alabama,01,40110.43,0.14865184487895994,Bradley Byrne,republican,https://cdn.civil.services/us-house/headshots/512x512/bradley-byrne.jpg,https://byrne.house.gov/contact/email-me,202-225-4931,https://twitter.com/RepByrne,https://www.facebook.com/RepByrne/,Y,0.07936560201313429,0.06928624286582565,0.004759445313310703,0.06734177224009369,0.000372405495352595,0.07453787898216642,0.0,0.0001491691003157567,0.0016398255925997303,0.0289301118860904,0.11169298160309529,0.007954166839616347,3.513296978694131e-09,7.892109666176109e-09,8.20516853956746e-09,1.3784443354681794e-08,3.5454976775784182e-09
0102,Alabama,02,104595.81999999999,0.15318212706130457,Martha Roby,republican,https://cdn.civil.services/us-house/headshots/512x512/martha-roby.jpg,https://roby.house.gov/contact-me,202-225-2901,https://twitter.com/RepMarthaRoby,https://www.facebook.com/Representative.Martha.Roby/,Y,0.08028165931284965,0.07290046774845493,0.0054325095398494476,0.09145089978618083,0.001566840830672798,0.049764099036349256,0.0,0.0013035578336896988,0.0036436951465979328,0.040063688890190685,0.1057797660642629,0.007354293752379837,8.361789788370262e-09,2.018698503792118e-08,1.882948517041065e-08,3.5439596953810703e-08,8.944171004331507e-09
0103,Alabama,03,115778.56600000002,0.1695596724754291,Mike Rogers,republican,https://cdn.civil.services/us-house/headshots/512x512/mike-rogers.jpg,https://mikerogers.house.gov/contact-mike/email-me,202-225-3261,https://twitter.com/RepMikeRogersAL,,Y,0.090746167868791,0.07881350460663808,0.0067070529115329245,0.09295524692780957,0.0010793157161707566,0.06555276867808306,3.295016688170657e-05,0.0004271333281587068,0.0028015946041337453,0.049053496090472,0.11194890468630778,0.008575359503763076,1.6685269421572645e-08,3.7579542955255325e-08,3.8278350127949924e-08,7.327699520663718e-08,2.0559024595580146e-08
0104,Alabama,04,90464.95099999999,0.15640849151695482,Robert Aderholt,republican,https://cdn.civil.services/us-house/headshots/512x512/robert-aderholt.jpg,https://aderholt.house.gov/contact-robert,202-225-4876,https://twitter.com/Robert_Aderholt,https://www.facebook.com/RobertAderholt/,Y,0.08449536871033164,0.07191312280662324,0.011320395961887242,0.10601040838086476,0.0005910477550575824,0.03675644879830011,6.972485299685852e-05,0.000478220818514875,0.0011872533779169383,0.04572758845690356,0.10440169695654654,0.006343314563382084,6.823420786544497e-08,2.997637839814745e-07,3.836308725536656e-07,6.553112709986055e-07,2.1710514801561507e-07
0105,Alabama,05,66980.465,0.14486240546052645,Mo Brooks,republican,https://cdn.civil.services/us-house/headshots/512x512/mo-brooks.jpg,https://brooks.house.gov/contact-me,202-225-4801,https://twitter.com/RepMoBrooks,https://www.facebook.com/RepMoBrooks/,Y,0.07497369088809251,0.06988871457243395,0.009730312189509335,0.0970018910035837,0.0013702128541242676,0.0323328716469171,2.3746871032694383e-05,0.0029546615589578114,0.0013021052397090658,0.03107744450908682,0.10373689017092261,0.010067644522928458,1.5801123651033858e-08,2.0708477881172477e-08,2.0457007711021834e-08,3.9098931365258473e-08,1.2741074861757133e-08
0106,Alabama,06,45151.765,0.13866738633711287,Gary Palmer,republican,https://cdn.civil.services/us-house/headshots/512x512/gary-palmer.jpg,https://palmer.house.gov/contact,202-225-4921,https://twitter.com/USRepGaryPalmer,https://www.facebook.com/CongressmanGaryPalmer/,Y,0.07451039491787773,0.06415699141923516,0.007403315442919794,0.09244141612102749,0.0002461522794000221,0.034991762342911195,0.0,0.00034954144196159843,0.003266975203616574,0.041503220197658564,0.08549418427453534,0.011669981864918983,1.5139652762028754e-08,4.513510258573717e-08,4.359911836393873e-08,6.70580072320268e-08,2.1251227642017287e-08
0107,Alabama,07,55556.748999999996,0.1456038457808843,Terri Sewell,democrat,https://cdn.civil.services/us-house/headshots/512x512/terri-sewell.jpg,https://sewell.house.gov/contact/email-me,202-225-2665,https://twitter.com/RepTerriSewell,https://www.facebook.com/RepSewell/,N,0.08185745457738082,0.0637463912035035,0.002278500161179995,0.07497904020589105,0.0010703496898267905,0.06634146841527305,0.0,0.00013458820476935538,0.0008000186025301328,0.04303219282369005,0.09575042660806529,0.006837637321424358,2.423822181897626e-08,5.0182536077637105e-08,5.1962193922234773e-08,9.647409160214513e-08,2.6444532709549993e-08
0501,Arkansas,01,133273.42799999999,0.18287572537100436,Rick Crawford,republican,https://cdn.civil.services/us-house/headshots/512x512/rick-crawford.jpg,http://crawford.house.gov/contact/,202-225-4076,https://twitter.com/RepRickCrawford,https://www.facebook.com/RepRickCrawford/,Y,0.09596014567933422,0.08691557969167016,0.007836213693028617,0.1386512915109809,0.0006058973633475812,0.03198331799962951,0.0005100368102200298,0.0005981441369988954,0.002765291006017029,0.03484835824442722,0.13677279274663298,0.011340420632165374,9.273582644768084e-09,2.645820920368293e-08,3.3694934220232454e-08,5.5036407941378916e-08,1.7499210356663678e-08
0502,Arkansas,02,130327.63,0.17872882587850664,French Hill,republican,https://cdn.civil.services/us-house/headshots/512x512/french-hill.jpg,https://hill.house.gov/contact/email,202-225-2506,https://twitter.com/RepFrenchHill,https://www.facebook.com/RepFrenchHill/,Y,0.09409945481025572,0.08462937106825089,0.013363699481069458,0.11499888884683322,0.0034154986039342176,0.04234543342494158,0.0002565620906427937,0.0008748284923586657,0.0034494328023346385,0.03581424397415221,0.12927437281264742,0.013696084507235405,7.923333023452421e-09,1.82622058749839e-08,2.36623297411923e-08,3.209832112381751e-08,1.0947510809876688e-08
